epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,634.952,0.50401,0.68028,1.98191,0.87946,0.93645,0.76307,0.91741,0.81331,0.94707,0.77088,0.93167,0.8287,0.48374,0.57198,2.71284,0.90038,0.00047208,0.00047208,0.00047208
2,1251.57,0.51463,0.55843,1.26619,0.88865,0.87257,0.90944,0.94809,0.84854,0.88017,0.91554,0.95422,0.83964,0.47696,0.73535,1.44644,0.88568,0.000929635,0.000929635,0.000929635
3,1848.25,0.54394,0.57722,1.09878,0.90252,0.91759,0.88696,0.96055,0.83405,0.92278,0.89287,0.96522,0.86651,0.53354,0.55496,1.44498,0.90086,0.00136833,0.00136833,0.00136833
4,2499.71,0.54989,0.55849,1.01291,0.90804,0.93955,0.97334,0.97033,0.88979,0.94534,0.97957,0.97861,0.89224,0.42219,0.44924,0.96685,0.84339,0.00134412,0.00134412,0.00134412
5,3152.95,0.54021,0.52457,0.87041,0.89798,0.95978,0.96547,0.9746,0.89597,0.96588,0.97145,0.97992,0.8974,0.40765,0.44992,0.82884,0.84405,0.00131582,0.00131582,0.00131582
6,3763.43,0.48959,0.51703,0.79022,0.89091,0.92445,0.97518,0.95853,0.88703,0.93007,0.98142,0.96675,0.88834,0.39181,0.40965,0.73789,0.84007,0.00128753,0.00128753,0.00128753
7,4469,0.48602,0.51541,0.71325,0.89291,0.96736,0.93755,0.97562,0.9249,0.97425,0.94373,0.9787,0.89659,0.35742,0.45283,0.71493,0.82361,0.00125923,0.00125923,0.00125923
8,5029.06,0.44621,0.47309,0.62156,0.87669,0.97198,0.97408,0.97332,0.92056,0.97822,0.98026,0.97767,0.91572,0.34166,0.35199,0.56014,0.81504,0.00123094,0.00123094,0.00123094
9,5659.2,0.44142,0.43638,0.5824,0.87542,0.94631,0.96983,0.97896,0.92711,0.95227,0.97595,0.98609,0.91768,0.33948,0.36616,0.51912,0.82204,0.00120265,0.00120265,0.00120265
10,6215.07,0.42465,0.44878,0.54665,0.86318,0.95194,0.96482,0.97311,0.92506,0.95794,0.97105,0.9819,0.91531,0.35252,0.36522,0.53373,0.82692,0.00117435,0.00117435,0.00117435
11,6756.68,0.40174,0.43925,0.50029,0.86044,0.96096,0.983,0.97443,0.93772,0.96664,0.98923,0.9819,0.91541,0.3103,0.35174,0.44201,0.80979,0.00114606,0.00114606,0.00114606
12,7291.17,0.41075,0.46155,0.50265,0.86007,0.94621,0.97255,0.97178,0.93059,0.95226,0.97878,0.97997,0.91073,0.31858,0.34984,0.46292,0.80555,0.00111776,0.00111776,0.00111776
13,7833.39,0.3992,0.43955,0.47255,0.85979,0.94583,0.98338,0.97575,0.94307,0.95414,0.98365,0.98075,0.90875,0.2989,0.36794,0.41611,0.8101,0.00108947,0.00108947,0.00108947
14,8315.66,0.40041,0.4394,0.45828,0.87078,0.97822,0.96372,0.98026,0.94808,0.98466,0.96995,0.98634,0.92019,0.29173,0.32234,0.38246,0.8035,0.00106118,0.00106118,0.00106118
15,8787.74,0.36842,0.38312,0.43297,0.85492,0.95557,0.98553,0.98039,0.95643,0.96125,0.99176,0.98483,0.93516,0.28501,0.33405,0.36769,0.80001,0.00103288,0.00103288,0.00103288
16,9257.02,0.36167,0.39602,0.4202,0.85692,0.95147,0.98241,0.97147,0.93902,0.95723,0.98864,0.97793,0.91728,0.28256,0.32032,0.36614,0.79976,0.00100459,0.00100459,0.00100459
17,9727.59,0.35176,0.39244,0.4256,0.85636,0.95828,0.9637,0.97932,0.95255,0.94421,0.98602,0.98145,0.91929,0.2717,0.32801,0.36142,0.79604,0.000976293,0.000976293,0.000976293
18,10195.7,0.35224,0.39896,0.42455,0.84776,0.96126,0.98059,0.97952,0.95449,0.96708,0.98682,0.9867,0.92627,0.28193,0.31628,0.3531,0.80839,0.000947999,0.000947999,0.000947999
19,10663.5,0.36658,0.38614,0.42499,0.85963,0.96349,0.97532,0.98065,0.96104,0.96947,0.98153,0.98629,0.9289,0.25976,0.32479,0.31972,0.80495,0.000919704,0.000919704,0.000919704
20,11132,0.33672,0.37658,0.37502,0.85524,0.97053,0.97205,0.98082,0.96127,0.97676,0.97821,0.98665,0.9302,0.26293,0.31935,0.32636,0.79458,0.00089141,0.00089141,0.00089141
21,11601.1,0.32766,0.36226,0.37337,0.84608,0.96889,0.98449,0.98022,0.95849,0.97474,0.9907,0.98507,0.92854,0.25899,0.32008,0.30589,0.79234,0.000863116,0.000863116,0.000863116
22,12069.8,0.31984,0.36053,0.37063,0.83717,0.96258,0.98781,0.97536,0.95792,0.96829,0.99404,0.98485,0.92477,0.25246,0.31312,0.31187,0.78566,0.000834822,0.000834822,0.000834822
23,12537.8,0.31414,0.36264,0.35982,0.84253,0.96937,0.97175,0.98259,0.96418,0.97554,0.97786,0.98678,0.93647,0.24929,0.30903,0.29633,0.78911,0.000806528,0.000806528,0.000806528
24,13007.6,0.32347,0.38191,0.37607,0.8487,0.96834,0.97955,0.97597,0.96002,0.9743,0.98571,0.983,0.93187,0.24569,0.31111,0.29359,0.79161,0.000778233,0.000778233,0.000778233
25,13484.8,0.31792,0.35677,0.35219,0.84047,0.96401,0.97486,0.97436,0.95338,0.97003,0.9811,0.98246,0.92311,0.24418,0.31218,0.29129,0.78892,0.000749939,0.000749939,0.000749939
26,13964.7,0.31824,0.34858,0.36205,0.84527,0.96339,0.98094,0.97761,0.95479,0.96807,0.99161,0.98544,0.92388,0.24338,0.30859,0.28156,0.7857,0.000721645,0.000721645,0.000721645
27,14432.4,0.30262,0.35599,0.34847,0.84027,0.96989,0.9793,0.98552,0.97052,0.97594,0.98553,0.98934,0.93925,0.22343,0.30449,0.2769,0.78307,0.000693351,0.000693351,0.000693351
28,14901.5,0.30443,0.36459,0.33845,0.84219,0.96528,0.98241,0.9825,0.97186,0.97117,0.98864,0.9868,0.94282,0.22323,0.30356,0.26484,0.78535,0.000665057,0.000665057,0.000665057
29,15369.2,0.28358,0.35654,0.32101,0.82932,0.97097,0.98182,0.97785,0.96349,0.97693,0.98805,0.98525,0.93374,0.22232,0.30767,0.25948,0.79272,0.000636762,0.000636762,0.000636762
30,15836.7,0.28777,0.34165,0.31683,0.83759,0.96891,0.98553,0.98298,0.96784,0.97475,0.99176,0.98616,0.93072,0.21522,0.29787,0.26299,0.7891,0.000608468,0.000608468,0.000608468
31,16305.4,0.28813,0.34322,0.31384,0.83209,0.96418,0.98403,0.98093,0.97165,0.97009,0.99,0.98517,0.93959,0.21256,0.29631,0.25206,0.78196,0.000580174,0.000580174,0.000580174
32,16776.7,0.27447,0.35404,0.30631,0.82362,0.96107,0.98214,0.9834,0.97302,0.96696,0.98833,0.98869,0.94038,0.20481,0.29783,0.25011,0.77771,0.00055188,0.00055188,0.00055188
33,17247.6,0.28261,0.33208,0.30823,0.83309,0.9668,0.97824,0.98434,0.9691,0.97279,0.98445,0.98786,0.93706,0.20854,0.29929,0.24622,0.78605,0.000523586,0.000523586,0.000523586
34,17716.1,0.27469,0.35029,0.2902,0.83018,0.97215,0.97928,0.98393,0.97392,0.97816,0.9854,0.98802,0.93317,0.20142,0.29679,0.23642,0.78197,0.000495291,0.000495291,0.000495291
35,18182.2,0.27097,0.32381,0.29611,0.83895,0.96168,0.98587,0.98039,0.97506,0.96743,0.9921,0.98645,0.94251,0.19754,0.28219,0.22713,0.77653,0.000466997,0.000466997,0.000466997
36,18652,0.26506,0.31803,0.2902,0.83091,0.96938,0.98079,0.98172,0.97448,0.97531,0.9869,0.98675,0.94249,0.1926,0.28532,0.22578,0.7777,0.000438703,0.000438703,0.000438703
37,19119.6,0.256,0.33165,0.27945,0.81965,0.95869,0.98864,0.98365,0.97651,0.96436,0.99487,0.98905,0.94106,0.19467,0.29572,0.22088,0.77468,0.000410409,0.000410409,0.000410409
38,19587.6,0.2638,0.34082,0.28833,0.83242,0.97672,0.97306,0.98132,0.97401,0.98312,0.9793,0.98869,0.94347,0.18753,0.28459,0.22883,0.77509,0.000382115,0.000382115,0.000382115
39,20055.6,0.26017,0.34276,0.28555,0.83403,0.96706,0.98444,0.98464,0.97834,0.97298,0.99058,0.98905,0.9464,0.17679,0.28518,0.21158,0.77579,0.00035382,0.00035382,0.00035382
40,20524.4,0.25134,0.32571,0.27875,0.83295,0.97428,0.98241,0.98348,0.97641,0.98028,0.98864,0.98905,0.94221,0.17163,0.28197,0.21514,0.77462,0.000325526,0.000325526,0.000325526
41,20983.3,0.19604,0.2829,0.24022,0.78131,0.97055,0.98497,0.98514,0.97757,0.97647,0.99107,0.98924,0.945,0.17707,0.28368,0.21149,0.77544,0.000297232,0.000297232,0.000297232
42,21441.6,0.19891,0.27648,0.23368,0.79141,0.96508,0.98241,0.98359,0.9772,0.97088,0.98864,0.98798,0.94432,0.18066,0.28012,0.21964,0.77548,0.000268938,0.000268938,0.000268938
43,21899.3,0.19087,0.27288,0.22742,0.78975,0.97535,0.97476,0.98313,0.97638,0.98147,0.98099,0.98891,0.94526,0.17386,0.27992,0.21731,0.7748,0.000240644,0.000240644,0.000240644
44,22360.1,0.18793,0.26472,0.21929,0.79501,0.97747,0.97171,0.98464,0.97612,0.98372,0.97794,0.98922,0.94627,0.17569,0.27812,0.20811,0.77961,0.000212349,0.000212349,0.000212349
45,22819.1,0.18264,0.25954,0.21747,0.78873,0.96613,0.98476,0.9831,0.9781,0.97195,0.99096,0.988,0.94522,0.16331,0.27454,0.20031,0.77726,0.000184055,0.000184055,0.000184055
46,23279,0.17311,0.26259,0.20656,0.78382,0.96884,0.98131,0.98385,0.97986,0.97476,0.98749,0.98924,0.94611,0.15699,0.27184,0.19611,0.76819,0.000155761,0.000155761,0.000155761
47,23739.7,0.1722,0.26796,0.20292,0.782,0.96259,0.98553,0.98473,0.97969,0.96833,0.99176,0.98942,0.94919,0.15315,0.27292,0.19274,0.76613,0.000127467,0.000127467,0.000127467
48,24200.5,0.16886,0.26899,0.21169,0.7815,0.97144,0.97829,0.98504,0.97967,0.97745,0.98394,0.99006,0.94761,0.15352,0.27661,0.18988,0.76632,9.91726e-05,9.91726e-05,9.91726e-05
49,24658.1,0.16466,0.26379,0.20542,0.78817,0.97475,0.97891,0.98494,0.98051,0.98083,0.98506,0.98995,0.94974,0.14642,0.27065,0.19051,0.76497,7.08784e-05,7.08784e-05,7.08784e-05
50,25116.7,0.16435,0.25335,0.19787,0.78638,0.97511,0.97618,0.98478,0.98003,0.9814,0.98241,0.98987,0.95234,0.14146,0.27228,0.1811,0.76409,4.25842e-05,4.25842e-05,4.25842e-05
